education,hours-per-week,sex,age,race,workclass,Major_Group,Age_Group
Less than HS,22,Female,18,White,Private,Other,18–25
Less than HS,40,Male,31,White,Local-gov,Other,26–35
HS-grad,30,Male,18,White,Private,Other,18–25
Bachelors,40,Male,52,White,Private,Other,46–55
HS-grad,40,Female,46,White,Private,Other,46–55
HS-grad,48,Male,59,White,Private,Other,56–65
HS-grad,40,Female,44,White,Private,Other,36–45
HS-grad,35,Female,53,White,Private,Other,46–55
HS-grad,40,Male,49,White,Local-gov,Other,46–55
Masters,50,Male,33,White,Private,Health,26–35
Less than HS,40,Male,30,White,Private,Other,26–35
Doctorate,50,Female,43,White,Federal-gov,Other,36–45
Assoc-voc,40,Male,57,White,Private,Industrial Arts & Consumer Services,56–65
Some-college,40,Female,37,White,Private,Engineering,36–45
Some-college,25,Female,28,Black,Private,Other,26–35
Bachelors,40,Male,34,White,Local-gov,Business,26–35
Some-college,50,Male,29,White,Local-gov,Other,26–35
Doctorate,60,Male,48,White,Self-emp-not-inc,Other,46–55
Some-college,48,Male,37,White,Private,Business,36–45
Assoc-acdm,40,Female,48,White,Private,Industrial Arts & Consumer Services,46–55
HS-grad,40,Male,32,Black,Federal-gov,Other,26–35
Masters,40,Male,76,White,Private,Other,66+
Bachelors,60,Male,44,White,Private,Business,36–45
Masters,50,Female,47,White,Self-emp-not-inc,Health,46–55
Some-college,40,Female,20,White,Private,Engineering,18–25
HS-grad,40,Male,29,White,Private,Other,26–35
HS-grad,40,Male,32,White,Self-emp-inc,Other,26–35
Less than HS,40,Male,30,White,Private,Other,26–35
HS-grad,40,Female,31,White,Local-gov,Other,26–35
HS-grad,40,Male,42,White,Private,Other,36–45
Bachelors,40,Male,24,White,Private,Business,18–25
Prof-school,40,Male,38,White,Private,Law & Public Policy,36–45
HS-grad,50,Male,56,White,Self-emp-not-inc,Other,56–65
Some-college,25,Female,28,White,Private,Business,26–35
HS-grad,40,Female,36,White,Private,Other,36–45
Less than HS,50,Male,53,White,Private,Other,46–55
Some-college,50,Male,56,White,Self-emp-inc,Business,56–65
Assoc-voc,40,Male,49,Black,Local-gov,Industrial Arts & Consumer Services,46–55
Some-college,56,Male,55,White,Private,Business,46–55
HS-grad,41,Male,22,White,Private,Other,18–25
Some-college,40,Female,21,White,Private,Other,18–25
Bachelors,60,Male,40,White,Private,Business,36–45
Bachelors,40,Male,30,Black,Private,Business,26–35
Bachelors,50,Male,29,White,State-gov,Health,26–35
Some-college,35,Male,19,Black,Private,Other,18–25
Bachelors,40,Female,47,White,Private,Business,46–55
Some-college,28,Female,20,White,Private,Business,18–25
Assoc-acdm,40,Male,31,White,Private,Industrial Arts & Consumer Services,26–35
Some-college,40,Male,39,White,Private,Engineering,36–45
Assoc-acdm,60,Female,28,White,Private,Industrial Arts & Consumer Services,26–35
HS-grad,40,Female,24,White,Private,Other,18–25
HS-grad,35,Male,38,White,Self-emp-not-inc,Other,36–45
Bachelors,50,Male,37,White,Private,Business,36–45
Assoc-acdm,36,Female,46,Black,Private,Industrial Arts & Consumer Services,46–55
Masters,40,Male,38,White,Federal-gov,Health,36–45
HS-grad,60,Male,43,White,Self-emp-not-inc,Other,36–45
Assoc-voc,35,Female,27,White,Private,Industrial Arts & Consumer Services,26–35
Some-college,20,Male,20,White,Private,Business,18–25
Some-college,40,Male,49,Asian-Pac-Islander,Private,Engineering,46–55
HS-grad,40,Male,61,White,Self-emp-inc,Other,56–65
Some-college,40,Female,27,White,Private,Business,26–35
Some-college,30,Male,19,White,Private,Other,18–25
Assoc-voc,40,Female,45,White,Private,Industrial Arts & Consumer Services,36–45
Some-college,40,Male,70,White,Private,Engineering,66+
HS-grad,30,Female,31,Black,Private,Other,26–35
Some-college,24,Male,22,White,Private,Other,18–25
HS-grad,24,Female,36,White,Private,Other,36–45
Less than HS,40,Male,64,White,Private,Other,56–65
Some-college,38,Female,47,White,Local-gov,Business,46–55
HS-grad,40,Female,34,White,Private,Other,26–35
Bachelors,40,Female,33,Asian-Pac-Islander,Private,Business,26–35
HS-grad,35,Male,21,White,Private,Other,18–25
HS-grad,46,Male,48,White,Private,Other,46–55
Bachelors,40,Male,23,White,Private,Other,18–25
Some-college,2,Male,71,Black,Self-emp-not-inc,Business,66+
HS-grad,60,Male,29,White,Private,Other,26–35
Bachelors,50,Male,42,Black,Private,Other,36–45
HS-grad,40,Female,25,White,Private,Other,18–25
Masters,40,Female,44,Asian-Pac-Islander,Self-emp-inc,Other,36–45
HS-grad,40,Female,28,Asian-Pac-Islander,Private,Other,26–35
Masters,40,Male,45,White,Self-emp-not-inc,Other,36–45
Some-college,40,Female,36,White,Private,Other,36–45
Assoc-acdm,42,Male,39,White,Federal-gov,Industrial Arts & Consumer Services,36–45
Masters,40,Male,46,White,State-gov,Other,46–55
Less than HS,16,Male,18,White,Private,Other,18–25
Assoc-voc,20,Female,66,White,Local-gov,Industrial Arts & Consumer Services,66+
HS-grad,40,Male,27,White,Private,Other,26–35
HS-grad,40,Male,28,White,State-gov,Other,26–35
Some-college,40,Male,51,White,Private,Business,46–55
Bachelors,50,Male,27,White,Private,Engineering,26–35
Bachelors,40,Male,28,White,State-gov,Health,26–35
HS-grad,25,Female,27,White,Private,Other,26–35
HS-grad,40,Male,21,Black,Private,Other,18–25
HS-grad,40,Male,34,Black,Private,Other,26–35
HS-grad,12,Male,18,White,Private,Other,18–25
Bachelors,65,Male,33,White,Private,Health,26–35
Some-college,38,Male,44,Black,Local-gov,Business,36–45
Some-college,40,Female,43,White,Private,Business,36–45
Some-college,45,Male,30,Black,Private,Engineering,26–35
Less than HS,40,Male,40,White,Private,Other,36–45
Some-college,42,Male,37,White,Federal-gov,Business,36–45
HS-grad,40,Male,34,Black,Private,Other,26–35
Bachelors,40,Female,41,White,Self-emp-not-inc,Business,36–45
Masters,50,Female,31,White,Private,Health,26–35
Doctorate,1,Male,58,White,State-gov,Other,56–65
Some-college,28,Female,38,Black,Private,Other,36–45
Some-college,40,Male,24,White,Private,Other,18–25
Bachelors,40,Male,41,Black,Local-gov,Engineering,36–45
Some-college,45,Male,47,White,Private,Engineering,46–55
Bachelors,24,Male,41,White,Federal-gov,Engineering,36–45
Less than HS,40,Male,23,White,Private,Other,18–25
Some-college,40,Male,36,White,Private,Engineering,36–45
Masters,55,Female,40,White,Federal-gov,Other,36–45
Masters,40,Male,35,White,Private,Health,26–35
HS-grad,40,Male,24,White,Self-emp-not-inc,Other,18–25
Masters,40,Female,26,White,Private,Health,26–35
Bachelors,50,Male,51,White,Private,Business,46–55
Some-college,40,Female,42,White,Local-gov,Health,36–45
HS-grad,35,Female,37,White,State-gov,Other,36–45
Less than HS,40,Female,18,White,Private,Other,18–25
Bachelors,36,Male,36,Black,Private,Other,36–45
HS-grad,60,Male,35,White,Private,Other,26–35
HS-grad,35,Female,58,White,Self-emp-inc,Other,56–65
Less than HS,12,Female,17,White,Private,Other,NA
HS-grad,40,Male,44,Black,Local-gov,Other,36–45
HS-grad,40,Male,37,White,Private,Other,36–45
Some-college,40,Female,35,Amer-Indian-Eskimo,Private,Business,26–35
HS-grad,40,Male,60,Asian-Pac-Islander,Private,Other,56–65
Less than HS,40,Male,54,White,Self-emp-inc,Other,46–55
Bachelors,60,Male,37,Black,Private,Business,36–45
Assoc-acdm,40,Female,50,White,Private,Industrial Arts & Consumer Services,46–55
Bachelors,50,Male,38,White,Private,Business,36–45
Bachelors,55,Male,45,White,Private,Health,36–45
Less than HS,40,Male,25,White,Private,Other,18–25
Some-college,40,Male,31,White,Private,Other,26–35
HS-grad,40,Male,90,Black,Private,Other,66+
HS-grad,20,Male,54,Black,Private,Other,46–55
Less than HS,35,Female,53,White,Local-gov,Other,46–55
HS-grad,40,Female,18,White,Private,Other,18–25
HS-grad,50,Male,66,White,Self-emp-not-inc,Other,66+
Assoc-voc,20,Female,75,White,Private,Industrial Arts & Consumer Services,66+
HS-grad,40,Female,65,White,Private,Other,56–65
Less than HS,40,Male,35,Black,Private,Other,26–35
HS-grad,38,Female,41,Black,Private,Other,36–45
Some-college,42,Male,25,White,Private,Business,18–25
Some-college,40,Female,33,Other,Private,Engineering,26–35
Prof-school,55,Male,28,White,Private,Law & Public Policy,26–35
HS-grad,40,Male,59,White,State-gov,Other,56–65
Some-college,38,Female,40,White,State-gov,Business,36–45
Bachelors,50,Male,41,White,Private,Business,36–45
Masters,70,Male,38,White,Local-gov,Other,36–45
HS-grad,40,Male,23,White,Private,Other,18–25
Bachelors,40,Male,40,White,Private,Health,36–45
HS-grad,20,Female,41,White,Self-emp-not-inc,Other,36–45
Assoc-acdm,50,Male,24,White,State-gov,Industrial Arts & Consumer Services,18–25
Some-college,40,Male,38,White,Private,Engineering,36–45
HS-grad,45,Male,58,White,Private,Other,56–65
HS-grad,34,Female,32,White,Private,Other,26–35
Assoc-acdm,60,Male,40,White,Private,Industrial Arts & Consumer Services,36–45
Prof-school,40,Female,41,White,Private,Law & Public Policy,36–45
Bachelors,40,Female,42,Black,Private,Business,36–45
Less than HS,30,Female,59,Black,Local-gov,Other,56–65
Some-college,40,Male,19,White,Local-gov,Business,18–25
Some-college,20,Male,58,White,Private,Other,56–65
HS-grad,40,Male,42,Asian-Pac-Islander,Self-emp-not-inc,Other,36–45
HS-grad,40,Female,20,White,Private,Other,18–25
HS-grad,30,Female,32,White,Private,Other,26–35
Assoc-voc,45,Female,45,White,Private,Industrial Arts & Consumer Services,36–45
Less than HS,40,Male,50,White,Private,Other,46–55
Bachelors,40,Female,36,White,Private,Health,36–45
HS-grad,60,Male,45,White,Private,Other,36–45
Less than HS,12,Male,17,White,Private,Other,NA
Some-college,40,Male,59,White,Private,Business,56–65
Less than HS,40,Male,26,White,Private,Other,26–35
Some-college,75,Male,37,Asian-Pac-Islander,Self-emp-inc,Business,36–45
HS-grad,40,Male,64,White,Private,Other,56–65
Bachelors,45,Female,33,White,Private,Health,26–35
HS-grad,40,Female,33,White,Private,Other,26–35
HS-grad,40,Male,61,White,Private,Other,56–65
Less than HS,24,Male,17,White,Private,Other,NA
Masters,98,Male,50,White,Self-emp-not-inc,Other,46–55
Masters,35,Male,27,White,Local-gov,Health,26–35
HS-grad,40,Female,30,White,Private,Other,26–35
HS-grad,40,Male,43,Black,Private,Other,36–45
Some-college,40,Male,44,White,Private,Engineering,36–45
Some-college,40,Female,35,White,Private,Business,26–35
Some-college,40,Female,25,White,Private,Engineering,18–25
Some-college,48,Female,24,White,Private,Other,18–25
Bachelors,15,Female,22,White,Private,Health,18–25
Some-college,40,Male,42,White,Local-gov,Engineering,36–45
Assoc-acdm,45,Female,34,Black,Private,Industrial Arts & Consumer Services,26–35
Bachelors,42,Female,60,White,Private,Health,56–65
HS-grad,40,Male,21,White,Private,Other,18–25
Masters,40,Male,57,White,Federal-gov,Other,56–65
Prof-school,60,Male,41,White,Private,Law & Public Policy,36–45
Some-college,45,Male,50,White,Private,Other,46–55
Bachelors,40,Female,25,White,Private,Business,18–25
Less than HS,40,Male,50,White,Private,Other,46–55
Bachelors,45,Male,36,White,Private,Health,36–45
HS-grad,40,Female,31,White,Private,Other,26–35
Bachelors,56,Male,29,White,Local-gov,Business,26–35
Some-college,45,Male,21,White,Private,Business,18–25
Bachelors,40,Female,27,Black,Private,Engineering,26–35
HS-grad,16,Male,65,White,Private,Other,56–65
Bachelors,60,Female,37,White,Self-emp-inc,Business,36–45
HS-grad,40,Male,24,White,Private,Other,18–25
HS-grad,80,Male,38,White,Private,Other,36–45
Bachelors,40,Male,48,White,Private,Business,46–55
Some-college,25,Female,21,Asian-Pac-Islander,Private,Other,18–25
HS-grad,45,Male,31,White,Private,Other,26–35
HS-grad,40,Male,55,White,Private,Other,46–55
Some-college,40,Female,24,Asian-Pac-Islander,Private,Business,18–25
HS-grad,40,Female,43,White,Private,Other,36–45
Assoc-acdm,45,Male,26,White,Private,Industrial Arts & Consumer Services,26–35
Assoc-acdm,33,Female,46,White,Private,Industrial Arts & Consumer Services,46–55
Assoc-acdm,40,Male,35,White,Private,Industrial Arts & Consumer Services,26–35
Some-college,54,Male,41,White,Self-emp-inc,Other,36–45
Bachelors,40,Male,26,White,Private,Business,26–35
Masters,35,Male,34,Asian-Pac-Islander,Private,Other,26–35
Bachelors,40,Female,36,Black,Self-emp-not-inc,Health,36–45
Some-college,15,Male,22,White,Private,Business,18–25
Some-college,40,Male,24,White,Private,Other,18–25
Some-college,40,Male,77,White,Self-emp-not-inc,Business,66+
Less than HS,40,Female,22,White,Private,Other,18–25
Some-college,40,Female,29,White,Private,Engineering,26–35
HS-grad,24,Female,62,White,Private,Other,56–65
HS-grad,40,Male,39,White,Self-emp-not-inc,Other,36–45
Some-college,50,Male,43,White,Private,Engineering,36–45
HS-grad,45,Male,35,White,Private,Other,26–35
Less than HS,40,Female,29,White,Private,Other,26–35
Masters,10,Male,76,White,Self-emp-not-inc,Other,66+
HS-grad,45,Male,63,White,Self-emp-not-inc,Other,56–65
Some-college,50,Female,43,White,Private,Health,36–45
HS-grad,40,Male,58,White,Self-emp-not-inc,Other,56–65
HS-grad,55,Male,66,White,Private,Other,66+
Some-college,45,Male,41,Black,Private,Engineering,36–45
Bachelors,40,Male,26,White,Private,Business,26–35
Assoc-voc,40,Male,47,White,Private,Industrial Arts & Consumer Services,46–55
Less than HS,40,Male,55,White,Local-gov,Other,46–55
HS-grad,40,Male,53,White,Private,Other,46–55
Less than HS,48,Male,17,White,Private,Other,NA
HS-grad,40,Male,30,White,Private,Other,26–35
Masters,60,Male,49,White,Private,Health,46–55
HS-grad,30,Male,19,Black,Private,Other,18–25
HS-grad,40,Male,45,Black,Private,Other,36–45
Assoc-acdm,40,Male,26,White,Private,Industrial Arts & Consumer Services,26–35
Assoc-voc,40,Male,38,White,Private,Industrial Arts & Consumer Services,36–45
HS-grad,40,Male,36,White,State-gov,Other,36–45
HS-grad,20,Male,33,White,Private,Other,26–35
Some-college,40,Female,22,Black,State-gov,Business,18–25
Bachelors,42,Male,43,White,Self-emp-not-inc,Business,36–45
Assoc-acdm,25,Male,56,White,Private,Industrial Arts & Consumer Services,56–65
Bachelors,25,Male,31,White,Private,Health,26–35
Bachelors,40,Male,33,White,Private,Business,26–35
HS-grad,40,Male,26,White,Private,Other,26–35
Bachelors,40,Male,33,White,Private,Business,26–35
Less than HS,30,Male,46,White,Local-gov,Other,46–55
HS-grad,40,Male,38,White,Federal-gov,Other,36–45
Less than HS,40,Male,65,Other,Private,Other,56–65
Assoc-voc,40,Male,40,White,Private,Industrial Arts & Consumer Services,36–45
HS-grad,35,Female,42,White,Private,Other,36–45
Less than HS,40,Male,26,White,Self-emp-not-inc,Other,26–35
Less than HS,24,Female,36,White,Private,Other,36–45
Masters,40,Male,62,White,Private,Health,56–65
Bachelors,45,Male,43,White,Private,Other,36–45
Bachelors,45,Male,43,White,Private,Business,36–45
HS-grad,55,Male,22,White,Private,Other,18–25
HS-grad,40,Male,28,White,Private,Other,26–35
Some-college,45,Male,56,White,Self-emp-not-inc,Business,56–65
Assoc-acdm,15,Female,22,White,Private,Industrial Arts & Consumer Services,18–25
Bachelors,45,Female,57,White,Private,Business,56–65
HS-grad,40,Female,39,White,Private,Other,36–45
Some-college,15,Female,26,White,Federal-gov,Business,26–35
Less than HS,10,Male,17,White,Private,Other,NA
Assoc-voc,38,Male,40,White,State-gov,Industrial Arts & Consumer Services,36–45
HS-grad,40,Male,45,Black,Private,Other,36–45
HS-grad,40,Male,44,Black,Private,Other,36–45
Some-college,10,Female,20,White,Local-gov,Business,18–25
HS-grad,40,Female,33,White,Private,Other,26–35
Some-college,40,Male,23,White,Private,Business,18–25
Masters,30,Male,46,White,Self-emp-not-inc,Other,46–55
HS-grad,50,Male,38,White,Private,Other,36–45
HS-grad,40,Male,54,White,Private,Other,46–55
Less than HS,45,Female,46,White,Private,Other,46–55
Some-college,40,Male,25,White,Private,Engineering,18–25
Some-college,40,Female,46,White,Private,Business,46–55
Some-college,40,Female,36,White,Local-gov,Other,36–45
HS-grad,25,Female,23,White,Private,Other,18–25
HS-grad,40,Male,29,White,Private,Other,26–35
Some-college,6,Female,44,White,Private,Business,36–45
Some-college,16,Female,19,White,Private,Business,18–25
HS-grad,40,Female,19,White,Private,Other,18–25
HS-grad,40,Female,35,White,Private,Other,26–35
Bachelors,50,Male,27,White,Private,Engineering,26–35
Assoc-acdm,40,Male,46,White,Self-emp-not-inc,Industrial Arts & Consumer Services,46–55
HS-grad,35,Female,34,White,Private,Other,26–35
Some-college,40,Male,44,White,Private,Engineering,36–45
Some-college,40,Female,45,White,Private,Other,36–45
Bachelors,55,Male,25,White,Private,Business,18–25
Bachelors,50,Male,52,White,Self-emp-inc,Business,46–55
Some-college,40,Male,20,White,Private,Other,18–25
Some-college,40,Female,28,White,Private,Other,26–35
Bachelors,40,Male,50,White,State-gov,Business,46–55
Assoc-voc,64,Female,34,White,Private,Industrial Arts & Consumer Services,26–35
Less than HS,40,Male,28,Other,Private,Other,26–35
Masters,65,Male,41,White,Private,Other,36–45
HS-grad,40,Male,28,White,Private,Other,26–35
HS-grad,25,Male,46,White,Self-emp-not-inc,Other,46–55
Some-college,50,Male,32,White,Private,Business,26–35
Some-college,24,Female,41,Black,Local-gov,Other,36–45
HS-grad,40,Female,24,Black,Private,Other,18–25
Some-college,40,Female,33,White,Private,Business,26–35
Doctorate,60,Male,46,White,Private,Other,46–55
Some-college,40,Male,31,White,State-gov,Other,26–35
Less than HS,50,Male,35,White,Private,Other,26–35
Less than HS,40,Male,52,White,Private,Other,46–55
Less than HS,19,Female,30,White,Private,Other,26–35
Less than HS,40,Male,34,Black,Local-gov,Other,26–35
HS-grad,40,Female,34,White,State-gov,Other,26–35
Some-college,30,Male,20,White,Private,Business,18–25
Less than HS,18,Male,17,White,Private,Other,NA
Bachelors,40,Female,32,White,State-gov,Business,26–35
HS-grad,40,Male,29,White,Private,Other,26–35
Less than HS,35,Female,33,White,Private,Other,26–35
HS-grad,60,Male,25,White,Private,Other,18–25
Masters,40,Male,36,White,Federal-gov,Health,36–45
HS-grad,72,Male,23,White,Private,Other,18–25
HS-grad,40,Male,63,White,Self-emp-inc,Other,56–65
Masters,40,Male,47,White,Local-gov,Health,46–55
Bachelors,40,Female,40,White,Self-emp-not-inc,Health,36–45
Assoc-acdm,25,Female,30,White,Private,Industrial Arts & Consumer Services,26–35
Some-college,40,Male,27,Asian-Pac-Islander,Private,Engineering,26–35
Masters,50,Male,33,White,Private,Health,26–35
HS-grad,60,Male,34,Black,Local-gov,Other,26–35
Some-college,40,Female,34,White,Local-gov,Business,26–35
Some-college,40,Male,23,White,Private,Business,18–25
Some-college,40,Female,42,White,Local-gov,Business,36–45
Bachelors,40,Male,29,White,Private,Health,26–35
HS-grad,28,Female,45,White,Private,Other,36–45
HS-grad,40,Male,24,White,Federal-gov,Other,18–25
Some-college,40,Male,44,White,Private,Health,36–45
Less than HS,40,Male,27,White,Private,Other,26–35
Some-college,35,Male,20,White,Private,Business,18–25
HS-grad,40,Female,44,Black,Private,Other,36–45
HS-grad,40,Male,51,Amer-Indian-Eskimo,Private,Other,46–55
HS-grad,40,Male,20,White,Private,Other,18–25
HS-grad,40,Female,19,Black,Private,Other,18–25
Some-college,55,Male,45,White,Self-emp-inc,Engineering,36–45
HS-grad,40,Male,60,White,Private,Other,56–65
HS-grad,40,Female,44,White,Self-emp-not-inc,Other,36–45
Assoc-voc,40,Male,40,Asian-Pac-Islander,Private,Industrial Arts & Consumer Services,36–45
HS-grad,40,Female,30,White,Private,Other,26–35
Some-college,50,Male,38,Black,Private,Other,36–45
HS-grad,60,Male,23,White,Private,Other,18–25
Assoc-acdm,40,Male,44,White,Private,Industrial Arts & Consumer Services,36–45
HS-grad,40,Male,54,Black,Local-gov,Other,46–55
Bachelors,50,Male,32,White,Private,Health,26–35
Less than HS,40,Male,50,White,Private,Other,46–55
Bachelors,20,Female,24,White,Private,Engineering,18–25
HS-grad,60,Female,37,White,Private,Other,36–45
HS-grad,40,Male,52,White,Private,Other,46–55
Some-college,40,Male,38,White,Private,Other,36–45
Masters,45,Male,49,White,Private,Other,46–55
Bachelors,16,Female,30,White,Private,Engineering,26–35
Some-college,40,Male,60,White,Private,Health,56–65
HS-grad,40,Male,35,White,Private,Other,26–35
HS-grad,60,Male,30,White,Private,Other,26–35
Assoc-voc,24,Female,67,White,Private,Industrial Arts & Consumer Services,66+
Bachelors,40,Female,46,White,Private,Engineering,46–55
Less than HS,6,Male,17,White,Private,Other,NA
Some-college,30,Male,22,White,Private,Other,18–25
Less than HS,40,Male,27,White,Private,Other,26–35
HS-grad,35,Female,23,White,Private,Other,18–25
Assoc-acdm,45,Male,33,White,Private,Industrial Arts & Consumer Services,26–35
Some-college,20,Male,43,White,Self-emp-not-inc,Engineering,36–45
Bachelors,20,Male,28,White,State-gov,Health,26–35
HS-grad,40,Female,41,White,Private,Other,36–45
Some-college,20,Female,25,Black,Private,Business,18–25
HS-grad,45,Male,59,White,Local-gov,Other,56–65
Bachelors,40,Female,45,White,Local-gov,Health,36–45
Bachelors,60,Male,38,White,Private,Business,36–45
HS-grad,35,Female,40,White,Private,Other,36–45
HS-grad,40,Male,46,White,Federal-gov,Other,46–55
Assoc-acdm,60,Female,35,White,Private,Industrial Arts & Consumer Services,26–35
HS-grad,25,Female,34,White,Private,Other,26–35
Bachelors,20,Male,33,White,Private,Engineering,26–35
HS-grad,36,Female,41,White,Private,Other,36–45
Some-college,40,Male,20,White,Private,Other,18–25
Less than HS,40,Male,23,White,Private,Other,18–25
Some-college,35,Female,26,White,Private,Health,26–35
HS-grad,40,Male,23,White,Local-gov,Other,18–25
HS-grad,40,Male,62,White,Local-gov,Other,56–65
Some-college,40,Male,52,White,Private,Business,46–55
Some-college,42,Female,58,White,Private,Other,56–65
Bachelors,40,Female,25,White,Private,Business,18–25
Bachelors,40,Male,24,Black,Private,Business,18–25
Some-college,8,Male,19,White,Private,Business,18–25
Some-college,40,Male,43,White,Private,Business,36–45
HS-grad,40,Female,47,Black,Local-gov,Other,46–55
HS-grad,40,Female,39,White,Private,Other,36–45
Assoc-voc,42,Male,49,White,Private,Industrial Arts & Consumer Services,46–55
Assoc-voc,45,Male,32,White,Private,Industrial Arts & Consumer Services,26–35
Some-college,50,Male,34,White,Private,Health,26–35
HS-grad,45,Male,28,White,Private,Other,26–35
Some-college,20,Female,25,Amer-Indian-Eskimo,Private,Business,18–25
Bachelors,50,Male,34,White,Private,Health,26–35
Bachelors,80,Male,38,White,Self-emp-inc,Business,36–45
HS-grad,50,Male,50,White,Private,Other,46–55
Some-college,50,Male,24,Black,Local-gov,Other,18–25
Some-college,45,Male,37,White,Local-gov,Engineering,36–45
Some-college,58,Male,44,White,Private,Other,36–45
Some-college,40,Female,28,White,Private,Business,26–35
Bachelors,40,Male,42,White,Private,Business,36–45
Some-college,9,Female,74,White,Private,Business,66+
HS-grad,50,Male,38,White,Self-emp-not-inc,Other,36–45
Masters,40,Male,44,White,Self-emp-not-inc,Health,36–45
Less than HS,46,Female,44,Other,Private,Other,36–45
HS-grad,40,Male,26,White,Private,Other,26–35
HS-grad,40,Male,36,Black,Private,Other,36–45
Assoc-acdm,50,Female,41,White,Private,Industrial Arts & Consumer Services,36–45
Prof-school,48,Male,67,White,Private,Law & Public Policy,66+
Less than HS,50,Male,39,White,Local-gov,Other,36–45
Less than HS,30,Female,57,Black,Private,Other,56–65
Assoc-voc,40,Male,29,White,Private,Industrial Arts & Consumer Services,26–35
Bachelors,45,Female,31,White,Self-emp-inc,Other,26–35
Some-college,40,Male,44,White,Private,Other,36–45
Doctorate,40,Male,29,White,Private,Other,26–35
Some-college,40,Female,30,White,Private,Other,26–35
HS-grad,40,Male,27,White,Private,Other,26–35
